Company Name	Industry	Symbol
Sudarshan Chemical Industries Ltd.	Chemicals	SUDARSCHEM
Sula Vineyards Ltd.	Fast Moving Consumer Goods	SULA
Sumitomo Chemical India Ltd.	Chemicals	SUMICHEM
Sun Pharma Advanced Research Company Ltd.	Healthcare	SPARC
Sun Pharmaceutical Industries Ltd.	Healthcare	SUNPHARMA
Sun TV Network Ltd.	Media Entertainment & Publication	SUNTV
Sundaram Finance Ltd.	Financial Services	SUNDARMFIN
Sundram Fasteners Ltd.	Automobile and Auto Components	SUNDRMFAST
Sunflag Iron & Steel Company Ltd.	Capital Goods	SUNFLAG
Sunteck Realty Ltd.	Realty	SUNTECK
Suprajit Engineering Ltd.	Automobile and Auto Components	SUPRAJIT
Supreme Industries Ltd.	Capital Goods	SUPREMEIND
Supriya Lifescience Ltd.	Healthcare	SUPRIYA
Surya Roshni Ltd.	Capital Goods	SURYAROSNI
Suzlon Energy Ltd.	Capital Goods	SUZLON
Swan Energy Ltd.	Chemicals	SWANENERGY
Swiggy Ltd.	Consumer Services	SWIGGY
Symphony Ltd.	Consumer Durables	SYMPHONY
Syngene International Ltd.	Healthcare	SYNGENE
Syrma SGS Technology Ltd.	Capital Goods	SYRMA
TARC Ltd.	Realty	TARC
TBO Tek Ltd.	Consumer Services	TBOTEK
TD Power Systems Ltd.	Capital Goods	TDPOWERSYS
TVS Motor Company Ltd.	Automobile and Auto Components	TVSMOTOR
TVS Supply Chain Solutions Ltd.	Services	TVSSCS
Tanla Platforms Ltd.	Information Technology	TANLA
Tata Chemicals Ltd.	Chemicals	TATACHEM
Tata Communications Ltd.	Telecommunication	TATACOMM
Tata Consultancy Services Ltd.	Information Technology	TCS
Tata Consumer Products Ltd.	Fast Moving Consumer Goods	TATACONSUM
Tata Elxsi Ltd.	Information Technology	TATAELXSI
Tata Investment Corporation Ltd.	Financial Services	TATAINVEST
Tata Motors Ltd.	Automobile and Auto Components	TATAMOTORS
Tata Power Co. Ltd.	Power	TATAPOWER
Tata Steel Ltd.	Metals & Mining	TATASTEEL
Tata Technologies Ltd.	Information Technology	TATATECH
Tata Teleservices (Maharashtra) Ltd.	Telecommunication	TTML
Teamlease Services Ltd.	Services	TEAMLEASE
Tech Mahindra Ltd.	Information Technology	TECHM
Techno Electric & Engineering Company Ltd.	Construction	TECHNOE
Technocraft Industries (India) Ltd.	Capital Goods	TIIL
Tega Industries Ltd.	Capital Goods	TEGA
Tejas Networks Ltd.	Telecommunication	TEJASNET
Texmaco Rail & Eng. Ltd.	Capital Goods	TEXRAIL
Thangamayil Jewellery Ltd.	Consumer Durables	THANGAMAYL
The Anup Engineering Ltd.	Capital Goods	ANUP
The New India Assurance Company Ltd.	Financial Services	NIACL
The Ramco Cements Ltd.	Construction Materials	RAMCOCEM
Thermax Ltd.	Capital Goods	THERMAX
Thirumalai Chemicals Ltd.	Chemicals	TIRUMALCHM
Thomas Cook (India) Ltd.	Consumer Services	THOMASCOOK
Tilaknagar Industries Ltd.	Fast Moving Consumer Goods	TI
Time Technoplast Ltd.	Capital Goods	TIMETECHNO
Timken India Ltd.	Capital Goods	TIMKEN
Tips Music Ltd.	Media Entertainment & Publication	TIPSMUSIC
Titagarh Rail Systems Ltd.	Capital Goods	TITAGARH
Titan Company Ltd.	Consumer Durables	TITAN
Torrent Pharmaceuticals Ltd.	Healthcare	TORNTPHARM
Torrent Power Ltd.	Power	TORNTPOWER
Transformers And Rectifiers (India) Ltd.	Capital Goods	TARIL
Transrail Lighting Ltd.	Capital Goods	TRANSRAILL
Trent Ltd.	Consumer Services	TRENT
Trident Ltd.	Textiles	TRIDENT
Triveni Engineering & Industries Ltd.	Fast Moving Consumer Goods	TRIVENI
Triveni Turbine Ltd.	Capital Goods	TRITURBINE
Tube Investments of India Ltd.	Automobile and Auto Components	TIINDIA
UCO Bank	Financial Services	UCOBANK
UNO Minda Ltd.	Automobile and Auto Components	UNOMINDA
UPL Ltd.	Chemicals	UPL
UTI Asset Management Company Ltd.	Financial Services	UTIAMC
Ujjivan Small Finance Bank Ltd.	Financial Services	UJJIVANSFB
UltraTech Cement Ltd.	Construction Materials	ULTRACEMCO
Unimech Aerospace and Manufacturing Ltd.	Capital Goods	UNIMECH
Union Bank of India	Financial Services	UNIONBANK
United Breweries Ltd.	Fast Moving Consumer Goods	UBL
United Spirits Ltd.	Fast Moving Consumer Goods	UNITDSPR
Usha Martin Ltd.	Capital Goods	USHAMART
V-Guard Industries Ltd.	Consumer Durables	VGUARD
V-Mart Retail Ltd.	Consumer Services	VMART
V.I.P. Industries Ltd.	Consumer Durables	VIPIND
VST Industries Ltd.	Fast Moving Consumer Goods	VSTIND
Va Tech Wabag Ltd.	Utilities	WABAG
Vaibhav Global Ltd.	Consumer Durables	VAIBHAVGBL
Valor Estate Ltd.	Consumer Services	DBREALTY
Vardhman Textiles Ltd.	Textiles	VTL
Varroc Engineering Ltd.	Automobile and Auto Components	VARROC
Varun Beverages Ltd.	Fast Moving Consumer Goods	VBL
Vedant Fashions Ltd.	Consumer Services	MANYAVAR
Vedanta Ltd.	Metals & Mining	VEDL
Ventive Hospitality Ltd.	Consumer Services	VENTIVE
Venus Pipes & Tubes Ltd.	Capital Goods	VENUSPIPES
Vesuvius India Ltd.	Capital Goods	VESUVIUS
Vijaya Diagnostic Centre Ltd.	Healthcare	VIJAYA
Vishal Mega Mart Ltd.	Consumer Services	VMM
Vodafone Idea Ltd.	Telecommunication	IDEA
Voltamp Transformers Ltd	Capital Goods	VOLTAMP
Voltas Ltd.	Consumer Durables	VOLTAS
Waaree Energies Ltd.	Capital Goods	WAAREEENER
Websol Energy System Ltd.	Capital Goods	WEBELSOLAR
Welspun Corp Ltd.	Capital Goods	WELCORP
Welspun Enterprises Ltd.	Construction	WELENT
Welspun Living Ltd.	Textiles	WELSPUNLIV
Westlife Foodworld Ltd.	Consumer Services	WESTLIFE
Whirlpool of India Ltd.	Consumer Durables	WHIRLPOOL
Wipro Ltd.	Information Technology	WIPRO
Wockhardt Ltd.	Healthcare	WOCKPHARMA
Wonderla Holidays Ltd.	Consumer Services	WONDERLA
Yatharth Hospital & Trauma Care Services Ltd.	Healthcare	YATHARTH
Yes Bank Ltd.	Financial Services	YESBANK
ZF Commercial Vehicle Control Systems India Ltd.	Automobile and Auto Components	ZFCVINDIA
Zaggle Prepaid Ocean Services Ltd.	Information Technology	ZAGGLE
Zee Entertainment Enterprises Ltd.	Media Entertainment & Publication	ZEEL
Zen Technologies Ltd.	Capital Goods	ZENTEC
Zensar Technolgies Ltd.	Information Technology	ZENSARTECH
Zinka Logistics Solutions Ltd.	Services	BLACKBUCK
Zydus Lifesciences Ltd.	Healthcare	ZYDUSLIFE
Zydus Wellness Ltd.	Fast Moving Consumer Goods	ZYDUSWELL
eClerx Services Ltd.	Services	ECLERX
eMudhra Ltd.	Information Technology	EMUDHRA
